env,seed,lam,lam_min_hat,lam_star,lam_over_lam_min,a_decoy,action_chosen,is_safe_action,achieved_return_irr_twin
Env1_DoorKey-Lava,0,0.0,0.08987177555299686,0.09,0.0,N,N,False,0.3
Env1_DoorKey-Lava,0,0.05,0.08987177555299686,0.09,0.5563481937720848,N,N,False,0.3
Env1_DoorKey-Lava,0,0.1,0.08987177555299686,0.09,1.1126963875441696,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.15000000000000002,0.08987177555299686,0.09,1.6690445813162544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.2,0.08987177555299686,0.09,2.225392775088339,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.25,0.08987177555299686,0.09,2.7817409688604235,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.30000000000000004,0.08987177555299686,0.09,3.338089162632509,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.35000000000000003,0.08987177555299686,0.09,3.8944373564045933,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.4,0.08987177555299686,0.09,4.450785550176678,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.45,0.08987177555299686,0.09,5.007133743948763,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.5,0.08987177555299686,0.09,5.563481937720847,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.55,0.08987177555299686,0.09,6.119830131492932,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.6000000000000001,0.08987177555299686,0.09,6.676178325265018,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.65,0.08987177555299686,0.09,7.232526519037101,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.7000000000000001,0.08987177555299686,0.09,7.788874712809187,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.75,0.08987177555299686,0.09,8.34522290658127,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.8,0.08987177555299686,0.09,8.901571100353356,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.8500000000000001,0.08987177555299686,0.09,9.45791929412544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.9,0.08987177555299686,0.09,10.014267487897525,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,0.9500000000000001,0.08987177555299686,0.09,10.57061568166961,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.0,0.08987177555299686,0.09,11.126963875441694,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.05,0.08987177555299686,0.09,11.683312069213779,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.1,0.08987177555299686,0.09,12.239660262985865,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.1500000000000001,0.08987177555299686,0.09,12.79600845675795,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.2000000000000002,0.08987177555299686,0.09,13.352356650530036,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.25,0.08987177555299686,0.09,13.908704844302118,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.3,0.08987177555299686,0.09,14.465053038074203,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.35,0.08987177555299686,0.09,15.021401231846287,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.4000000000000001,0.08987177555299686,0.09,15.577749425618373,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.4500000000000002,0.08987177555299686,0.09,16.13409761939046,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,0,1.5,0.08987177555299686,0.09,16.69044581316254,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.0,0.08987177555299686,0.09,0.0,N,N,False,0.3
Env1_DoorKey-Lava,1,0.05,0.08987177555299686,0.09,0.5563481937720848,N,N,False,0.3
Env1_DoorKey-Lava,1,0.1,0.08987177555299686,0.09,1.1126963875441696,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.15000000000000002,0.08987177555299686,0.09,1.6690445813162544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.2,0.08987177555299686,0.09,2.225392775088339,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.25,0.08987177555299686,0.09,2.7817409688604235,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.30000000000000004,0.08987177555299686,0.09,3.338089162632509,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.35000000000000003,0.08987177555299686,0.09,3.8944373564045933,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.4,0.08987177555299686,0.09,4.450785550176678,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.45,0.08987177555299686,0.09,5.007133743948763,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.5,0.08987177555299686,0.09,5.563481937720847,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.55,0.08987177555299686,0.09,6.119830131492932,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.6000000000000001,0.08987177555299686,0.09,6.676178325265018,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.65,0.08987177555299686,0.09,7.232526519037101,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.7000000000000001,0.08987177555299686,0.09,7.788874712809187,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.75,0.08987177555299686,0.09,8.34522290658127,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.8,0.08987177555299686,0.09,8.901571100353356,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.8500000000000001,0.08987177555299686,0.09,9.45791929412544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.9,0.08987177555299686,0.09,10.014267487897525,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,0.9500000000000001,0.08987177555299686,0.09,10.57061568166961,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.0,0.08987177555299686,0.09,11.126963875441694,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.05,0.08987177555299686,0.09,11.683312069213779,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.1,0.08987177555299686,0.09,12.239660262985865,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.1500000000000001,0.08987177555299686,0.09,12.79600845675795,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.2000000000000002,0.08987177555299686,0.09,13.352356650530036,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.25,0.08987177555299686,0.09,13.908704844302118,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.3,0.08987177555299686,0.09,14.465053038074203,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.35,0.08987177555299686,0.09,15.021401231846287,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.4000000000000001,0.08987177555299686,0.09,15.577749425618373,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.4500000000000002,0.08987177555299686,0.09,16.13409761939046,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,1,1.5,0.08987177555299686,0.09,16.69044581316254,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.0,0.08987177555299686,0.09,0.0,N,N,False,0.3
Env1_DoorKey-Lava,2,0.05,0.08987177555299686,0.09,0.5563481937720848,N,N,False,0.3
Env1_DoorKey-Lava,2,0.1,0.08987177555299686,0.09,1.1126963875441696,N,N,False,0.3
Env1_DoorKey-Lava,2,0.15000000000000002,0.08987177555299686,0.09,1.6690445813162544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.2,0.08987177555299686,0.09,2.225392775088339,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.25,0.08987177555299686,0.09,2.7817409688604235,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.30000000000000004,0.08987177555299686,0.09,3.338089162632509,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.35000000000000003,0.08987177555299686,0.09,3.8944373564045933,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.4,0.08987177555299686,0.09,4.450785550176678,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.45,0.08987177555299686,0.09,5.007133743948763,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.5,0.08987177555299686,0.09,5.563481937720847,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.55,0.08987177555299686,0.09,6.119830131492932,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.6000000000000001,0.08987177555299686,0.09,6.676178325265018,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.65,0.08987177555299686,0.09,7.232526519037101,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.7000000000000001,0.08987177555299686,0.09,7.788874712809187,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.75,0.08987177555299686,0.09,8.34522290658127,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.8,0.08987177555299686,0.09,8.901571100353356,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.8500000000000001,0.08987177555299686,0.09,9.45791929412544,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.9,0.08987177555299686,0.09,10.014267487897525,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,0.9500000000000001,0.08987177555299686,0.09,10.57061568166961,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.0,0.08987177555299686,0.09,11.126963875441694,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.05,0.08987177555299686,0.09,11.683312069213779,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.1,0.08987177555299686,0.09,12.239660262985865,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.1500000000000001,0.08987177555299686,0.09,12.79600845675795,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.2000000000000002,0.08987177555299686,0.09,13.352356650530036,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.25,0.08987177555299686,0.09,13.908704844302118,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.3,0.08987177555299686,0.09,14.465053038074203,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.35,0.08987177555299686,0.09,15.021401231846287,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.4000000000000001,0.08987177555299686,0.09,15.577749425618373,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.4500000000000002,0.08987177555299686,0.09,16.13409761939046,N,E,True,0.5904900000000002
Env1_DoorKey-Lava,2,1.5,0.08987177555299686,0.09,16.69044581316254,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.0,0.113240905756104,0.114,0.0,N,N,False,0.3
Env2_Sokoban-barrier,0,0.05,0.113240905756104,0.114,0.4415365601869081,N,N,False,0.3
Env2_Sokoban-barrier,0,0.1,0.113240905756104,0.114,0.8830731203738162,N,N,False,0.3
Env2_Sokoban-barrier,0,0.15000000000000002,0.113240905756104,0.114,1.3246096805607244,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.2,0.113240905756104,0.114,1.7661462407476325,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.25,0.113240905756104,0.114,2.2076828009345406,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.30000000000000004,0.113240905756104,0.114,2.6492193611214487,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.35000000000000003,0.113240905756104,0.114,3.090755921308357,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.4,0.113240905756104,0.114,3.532292481495265,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.45,0.113240905756104,0.114,3.9738290416821727,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.5,0.113240905756104,0.114,4.415365601869081,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.55,0.113240905756104,0.114,4.856902162055989,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.6000000000000001,0.113240905756104,0.114,5.2984387222428975,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.65,0.113240905756104,0.114,5.739975282429805,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.7000000000000001,0.113240905756104,0.114,6.181511842616714,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.75,0.113240905756104,0.114,6.623048402803621,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.8,0.113240905756104,0.114,7.06458496299053,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.8500000000000001,0.113240905756104,0.114,7.5061215231774385,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.9,0.113240905756104,0.114,7.947658083364345,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,0.9500000000000001,0.113240905756104,0.114,8.389194643551255,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.0,0.113240905756104,0.114,8.830731203738162,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.05,0.113240905756104,0.114,9.27226776392507,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.1,0.113240905756104,0.114,9.713804324111978,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.1500000000000001,0.113240905756104,0.114,10.155340884298887,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.2000000000000002,0.113240905756104,0.114,10.596877444485795,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.25,0.113240905756104,0.114,11.038414004672703,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.3,0.113240905756104,0.114,11.47995056485961,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.35,0.113240905756104,0.114,11.92148712504652,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.4000000000000001,0.113240905756104,0.114,12.363023685233427,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.4500000000000002,0.113240905756104,0.114,12.804560245420335,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,0,1.5,0.113240905756104,0.114,13.246096805607243,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.0,0.113240905756104,0.114,0.0,N,N,False,0.3
Env2_Sokoban-barrier,1,0.05,0.113240905756104,0.114,0.4415365601869081,N,N,False,0.3
Env2_Sokoban-barrier,1,0.1,0.113240905756104,0.114,0.8830731203738162,N,N,False,0.3
Env2_Sokoban-barrier,1,0.15000000000000002,0.113240905756104,0.114,1.3246096805607244,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.2,0.113240905756104,0.114,1.7661462407476325,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.25,0.113240905756104,0.114,2.2076828009345406,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.30000000000000004,0.113240905756104,0.114,2.6492193611214487,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.35000000000000003,0.113240905756104,0.114,3.090755921308357,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.4,0.113240905756104,0.114,3.532292481495265,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.45,0.113240905756104,0.114,3.9738290416821727,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.5,0.113240905756104,0.114,4.415365601869081,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.55,0.113240905756104,0.114,4.856902162055989,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.6000000000000001,0.113240905756104,0.114,5.2984387222428975,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.65,0.113240905756104,0.114,5.739975282429805,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.7000000000000001,0.113240905756104,0.114,6.181511842616714,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.75,0.113240905756104,0.114,6.623048402803621,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.8,0.113240905756104,0.114,7.06458496299053,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.8500000000000001,0.113240905756104,0.114,7.5061215231774385,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.9,0.113240905756104,0.114,7.947658083364345,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,0.9500000000000001,0.113240905756104,0.114,8.389194643551255,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.0,0.113240905756104,0.114,8.830731203738162,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.05,0.113240905756104,0.114,9.27226776392507,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.1,0.113240905756104,0.114,9.713804324111978,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.1500000000000001,0.113240905756104,0.114,10.155340884298887,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.2000000000000002,0.113240905756104,0.114,10.596877444485795,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.25,0.113240905756104,0.114,11.038414004672703,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.3,0.113240905756104,0.114,11.47995056485961,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.35,0.113240905756104,0.114,11.92148712504652,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.4000000000000001,0.113240905756104,0.114,12.363023685233427,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.4500000000000002,0.113240905756104,0.114,12.804560245420335,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,1,1.5,0.113240905756104,0.114,13.246096805607243,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.0,0.113240905756104,0.114,0.0,N,N,False,0.3
Env2_Sokoban-barrier,2,0.05,0.113240905756104,0.114,0.4415365601869081,N,N,False,0.3
Env2_Sokoban-barrier,2,0.1,0.113240905756104,0.114,0.8830731203738162,N,N,False,0.3
Env2_Sokoban-barrier,2,0.15000000000000002,0.113240905756104,0.114,1.3246096805607244,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.2,0.113240905756104,0.114,1.7661462407476325,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.25,0.113240905756104,0.114,2.2076828009345406,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.30000000000000004,0.113240905756104,0.114,2.6492193611214487,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.35000000000000003,0.113240905756104,0.114,3.090755921308357,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.4,0.113240905756104,0.114,3.532292481495265,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.45,0.113240905756104,0.114,3.9738290416821727,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.5,0.113240905756104,0.114,4.415365601869081,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.55,0.113240905756104,0.114,4.856902162055989,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.6000000000000001,0.113240905756104,0.114,5.2984387222428975,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.65,0.113240905756104,0.114,5.739975282429805,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.7000000000000001,0.113240905756104,0.114,6.181511842616714,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.75,0.113240905756104,0.114,6.623048402803621,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.8,0.113240905756104,0.114,7.06458496299053,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.8500000000000001,0.113240905756104,0.114,7.5061215231774385,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.9,0.113240905756104,0.114,7.947658083364345,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,0.9500000000000001,0.113240905756104,0.114,8.389194643551255,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.0,0.113240905756104,0.114,8.830731203738162,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.05,0.113240905756104,0.114,9.27226776392507,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.1,0.113240905756104,0.114,9.713804324111978,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.1500000000000001,0.113240905756104,0.114,10.155340884298887,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.2000000000000002,0.113240905756104,0.114,10.596877444485795,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.25,0.113240905756104,0.114,11.038414004672703,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.3,0.113240905756104,0.114,11.47995056485961,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.35,0.113240905756104,0.114,11.92148712504652,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.4000000000000001,0.113240905756104,0.114,12.363023685233427,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.4500000000000002,0.113240905756104,0.114,12.804560245420335,N,E,True,0.5904900000000002
Env2_Sokoban-barrier,2,1.5,0.113240905756104,0.114,13.246096805607243,N,E,True,0.5904900000000002
Env3_Resource-depletion,0,0.0,0.12799462595331126,0.128,0.0,N,N,False,0.3
Env3_Resource-depletion,0,0.05,0.12799462595331126,0.128,0.3906414009775579,N,N,False,0.3
Env3_Resource-depletion,0,0.1,0.12799462595331126,0.128,0.7812828019551158,N,N,False,0.3
Env3_Resource-depletion,0,0.15000000000000002,0.12799462595331126,0.128,1.1719242029326737,N,E,True,0.5904900000000002
